Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	ACH-001001	ACH-001275	ACH-002470	ACH-000359	ACH-002069	ACH-001814	ACH-000748	
Amplification Peak 11	6p12.3  	chr6:49483138-49960108(probes 111437:111485)  	chr6:49493022-49950345(probes 111438:111484)  	chr6:49493022-49979634(probes 111438:111487)  	0.21115	   0.21115		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	1	0	1	2	2	1	0	
Amplification Peak 12	6q11.1  	chr6:61392686-61495683(probes 112473:112484)  	chr6:61395685-61492684(probes 112474:112483)  	chr6:61395685-61503684(probes 112474:112486)  	0.03168	   0.03168		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	0	2	1	0	
Amplification Peak 13	7p11.1  	chr7:57898764-60949984(probes 129412:129722)  	chr7:57906430-60940984(probes 129413:129721)  	chr7:57906430-60967984(probes 129413:129724)  	0.024966	  0.071374		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	1	2	1	0	
Amplification Peak 14	7q11.21 	chr7:62438772-62524770(probes 129844:129850)  	chr7:62439771-62516770(probes 129845:129849)  	chr7:62438771-62544770(probes 129843:129855)  	0.03168	  0.096358		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	1	2	1	0	
Amplification Peak 15	8p11.1  	chr8:43736412-43915891(probes 143998:144023)  	chr8:43746059-43906058(probes 143999:144022)  	chr8:43746059-43935558(probes 143999:144025)  	0.039206	  0.039206		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	1	2	0	0	
Amplification Peak 16	8q12.1  	chr8:56489088-57356716(probes 145104:145197)  	chr8:56498955-57348216(probes 145105:145196)  	chr8:56498955-57373715(probes 145105:145199)  	0.17128	   0.17128		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	1	2	2	1	2	1	2	
Amplification Peak 17	8q21.2  	chr8:85651949-85838835(probes 148077:148088)  	chr8:85661935-85828934(probes 148078:148087)  	chr8:85661935-85858637(probes 148078:148090)  	0.035429	  0.035429		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	1	2	1	0	
Amplification Peak 18	9p12    	chr9:38963735-39031233(probes 158389:158397)  	chr9:38973235-39029234(probes 158390:158396)  	chr9:38973235-39047779(probes 158390:158401)  	0.017717	  0.017981		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	0	2	1	0	
Amplification Peak 19	9p12    	chr9:39461902-39586233(probes 158448:158463)  	chr9:39469235-39585234(probes 158449:158462)  	chr9:39447235-39596234(probes 158445:158465)  	0.018567	  0.052645		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	0	2	1	0	
Amplification Peak 20	9p11.2  	chr9:41563568-41669234(probes 158662:158671)  	chr9:41573235-41663234(probes 158663:158670)  	chr9:41445235-41675234(probes 158650:158673)  	0.041328	  0.047695		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	1	2	1	0	
Amplification Peak 21	9q13    	chr9:61368310-61673183(probes 160565:160577)  	chr9:61370309-61664308(probes 160566:160576)  	chr9:61370309-61690933(probes 160566:160579)  	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	0	2	1	0	
Amplification Peak 22	9q21.11 	chr9:64950310-65407308(probes 160854:160884)  	chr9:64952309-65397308(probes 160855:160883)  	chr9:64936309-65427308(probes 160849:160886)  	0.047852	  0.047852		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	0	2	1	0	
Amplification Peak 23	10p11.1 	chr10:38486313-38624252(probes 172056:172071)	chr10:38488312-38614311(probes 172057:172070)	chr10:38488312-38644134(probes 172057:172073)	0.01958	   0.01958		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	0	2	0	0	
Amplification Peak 24	10p11.1 	chr10:38783313-38930223(probes 172090:172108)	chr10:38784312-38920311(probes 172091:172107)	chr10:38784312-38950046(probes 172091:172110)	0.01958	  0.059414		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	1	2	0	0	
Amplification Peak 25	10p11.1 	chr10:39247400-39350311(probes 172142:172153)	chr10:39257312-39341311(probes 172143:172152)	chr10:39257312-39359311(probes 172143:172155)	0.020552	   0.11754		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	1	2	0	0	
Amplification Peak 26	10q11.21	chr10:41841273-42107270(probes 172204:172236)	chr10:41842272-42105271(probes 172205:172235)	chr10:41841272-42137154(probes 172203:172240)	0.01958	  0.060539		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	0	2	0	0	
Amplification Peak 27	11p11.12	chr11:50553198-50689196(probes 186509:186524)	chr11:50560198-50682197(probes 186510:186523)	chr11:50445198-50694697(probes 186495:186526)	0.017717	  0.035055		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	0	2	1	0	
Amplification Peak 28	11q11   	chr11:54949825-55055699(probes 186595:186610)	chr11:54959825-55046824(probes 186596:186609)	chr11:54868825-55073449(probes 186584:186612)	0.017717	  0.031504		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	1	2	0	0	
Amplification Peak 29	11q11   	chr11:55596826-55689823(probes 186678:186690)	chr11:55597825-55688824(probes 186679:186689)	chr11:55597825-55700814(probes 186679:186692)	0.017717	  0.025486		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	1	2	0	0	
Amplification Peak 30	12p11.1 	chr12:34524486-34597002(probes 198086:198097)	chr12:34533903-34587902(probes 198087:198096)	chr12:34533903-34615202(probes 198087:198099)	0.047852	  0.056355		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	0	2	0	0	
Amplification Peak 31	12q11   	chr12:37256029-37408001(probes 198371:198388)	chr12:37266003-37407002(probes 198372:198387)	chr12:34679903-37425127(probes 198110:198392)	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	0	2	0	2	
Amplification Peak 32	15q11.2 	chr15:23154005-23369991(probes 227741:227762)	chr15:23164005-23360004(probes 227742:227761)	chr15:23164005-23389964(probes 227742:227764)	0.019384	  0.019384		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	0	2	1	0	
Amplification Peak 33	16p11.2 	chr16:34268276-34604719(probes 238820:238825)	chr16:34278220-34596219(probes 238821:238824)	chr16:34278220-34784719(probes 238821:238856)	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	1	2	0	0	
Amplification Peak 34	16q11.2 	chr16:35981506-46409419(probes 238983:239224)	chr16:46383420-46402419(probes 239221:239223)	chr16:35990220-46423418(probes 238984:239226)	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	2	2	0	0	
Amplification Peak 35	17p11.2 	chr17:21879313-21886310(probes 245870:245875)	chr17:21881312-21885311(probes 245871:245874)	chr17:21881312-21892311(probes 245871:245877)	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	0	2	0	0	
Amplification Peak 36	17q11.1 	chr17:26766103-26950900(probes 246085:246104)	chr17:26775915-26940914(probes 246086:246103)	chr17:26775915-26970873(probes 246086:246106)	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	1	2	0	0	
Amplification Peak 37	17q12   	chr17:36159693-36280358(probes 247036:247046)	chr17:36163692-36270691(probes 247037:247045)	chr17:36163692-36299691(probes 247037:247048)	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	2	2	0	0	
Amplification Peak 38	18p11.1 	chr18:15374768-20841291(probes 253227:253775)	chr18:15384686-20831833(probes 253228:253774)	chr18:15384686-20860207(probes 253228:253777)	0.01958	   0.01958		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	0	2	0	0	
Amplification Peak 39	19q11   	chr19:27485626-27567623(probes 262552:262562)	chr19:27488625-27566624(probes 262553:262561)	chr19:27429625-27593623(probes 262539:262566)	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	1	2	0	0	
Amplification Peak 40	20p11.1 	chr20:26293066-26603704(probes 268385:268417)	chr20:26294065-26596705(probes 268386:268416)	chr20:26294065-28559702(probes 268386:268419)	0.030117	  0.038674		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	0	2	2	0	
Amplification Peak 41	20q11.21	chr20:31048385-31244097(probes 268659:268681)	chr20:31057099-31243098(probes 268660:268680)	chr20:30996099-31253949(probes 268652:268683)	0.027593	  0.034192		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	0	2	1	0	
Amplification Peak 42	21p12   	chr21:5245501-6376978(probes 272051:272062)    	chr21:5255001-6367000(probes 272052:272061)    	chr21:5255001-6396933(probes 272052:272064)    	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	1	2	0	0	
Amplification Peak 43	21p11.2 	chr21:7316251-7979875(probes 272164:272220)    	chr21:7324001-7970000(probes 272165:272219)    	chr21:7324001-7999625(probes 272165:272222)    	0.061199	   0.07477		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	1	2	0	0	
Amplification Peak 44	21p11.2 	chr21:8039126-8228975(probes 272228:272247)    	chr21:8049001-8219000(probes 272229:272246)    	chr21:8049001-8248925(probes 272229:272249)    	0.20045	   0.23369		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	0	0	1	2	0	0	
Amplification Peak 45	21p11.2 	chr21:10664002-10741999(probes 272508:272516)	chr21:10674001-10732000(probes 272509:272515)	chr21:10654001-10770714(probes 272506:272520)	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	2	2	0	0	
Amplification Peak 46	22p11.2 	chr22:11701001-12037500(probes 276015:276036)	chr22:11711001-12028000(probes 276016:276035)	chr22:11711001-12056500(probes 276016:276038)	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	0	2	0	0	
Amplification Peak 47	22p11.2 	chr22:12216251-12438999(probes 276059:276077)	chr22:12225001-12436000(probes 276060:276076)	chr22:12225001-12579749(probes 276060:276089)	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	0	2	0	0	
Amplification Peak 48	22q11.1 	chr22:15940070-16078067(probes 276199:276215)	chr22:15941069-16074068(probes 276200:276214)	chr22:15941069-16079067(probes 276200:276217)	0.061199	  0.061199		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	0	2	0	0	
Deletion Peak 1	3q13.31	chr3:116808900-116972897(probes 61058:61086)	chr3:116814899-116966898(probes 61059:61085)	chr3:116605907-117032897(probes 61012:61106)	0.0010961	 0.0010961		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	0	1	1	1	1	1	
Deletion Peak 2	9q13   	chr9:64356509-64936307(probes 160799:160847)  	chr9:64366309-64935308(probes 160800:160846)  	chr9:64366309-64944307(probes 160800:160849)  	0.21049	   0.21049		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	
Deletion Peak 3	16p11.1	chr16:35417370-35533097(probes 238920:238932)	chr16:35427220-35523219(probes 238921:238931)	chr16:35230220-35552853(probes 238900:238934)	0.02511	   0.02511		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	0	
Deletion Peak 4	17p11.2	chr17:21937313-21958310(probes 245900:245923)	chr17:21941312-21957311(probes 245901:245922)	chr17:21941312-21963310(probes 245901:245925)	0.040653	  0.040653		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	0	
Amplification Peak  1 - CN values	1p36.13 	chr1:16863626-16949623(probes 1709:1720)      	chr1:16867625-16948624(probes 1710:1719)      	chr1:16867625-16959460(probes 1710:1722)      	0.098075	  0.098075		Actual Copy Change Given	1.8374	3.6569	0.1348	-0.082701	3.6569	0.099179	0.00071823	
Amplification Peak  2 - CN values	1q12    	chr1:125165475-143284213(probes 12645:14459)	chr1:125178475-143274474(probes 12648:14458)	chr1:125175475-143303691(probes 12646:14461)	0.017717	  0.017717		Actual Copy Change Given	3.6569	3.6569	1.1811	0.65095	3.6569	-0.080067	0.05005	
Amplification Peak  3 - CN values	1q44    	chr1:248576465-248653963(probes 25134:25147)	chr1:248577464-248648463(probes 25135:25146)	chr1:248577464-248670325(probes 25135:25152)	0.017717	  0.017717		Actual Copy Change Given	3.6569	3.6569	3.6569	0.61029	3.6569	-0.42144	-1.2929	
Amplification Peak  4 - CN values	2p11.2  	chr2:89780556-89847054(probes 34275:34283)    	chr2:89781555-89841554(probes 34276:34282)    	chr2:89780555-89868554(probes 34274:34285)    	0.083373	   0.20338		Actual Copy Change Given	3.6569	3.6569	0.83019	0.21611	0.53404	0.043138	0.038301	
Amplification Peak  5 - CN values	2p11.2  	chr2:90394222-91426553(probes 34344:34348)    	chr2:90402555-91421554(probes 34345:34347)    	chr2:90370555-91434554(probes 34339:34350)    	0.06462	   0.16607		Actual Copy Change Given	1.1095	3.6569	0.52963	0.21611	3.6569	0.043138	0.038301	
Amplification Peak  6 - CN values	3p11.1  	chr3:90525864-91258193(probes 58636:58663)    	chr3:90531363-91248372(probes 58637:58662)    	chr3:90258363-91277836(probes 58606:58665)    	0.01958	   0.01958		Actual Copy Change Given	3.6569	3.6569	-1.1794	-0.53141	3.6569	-0.013417	-0.45713	
Amplification Peak  7 - CN values	4p11    	chr4:49081024-49164856(probes 74160:74172)    	chr4:49091024-49155023(probes 74161:74171)    	chr4:49091024-49184523(probes 74161:74174)    	0.017717	  0.017717		Actual Copy Change Given	3.6569	3.6569	2.1927	-0.082095	3.6569	-0.57025	-0.3845	
Amplification Peak  8 - CN values	4p11    	chr4:49656025-49719004(probes 74214:74217)    	chr4:49657024-49709023(probes 74215:74216)    	chr4:49290024-52583348(probes 74187:74505)    	0.002768	 0.0036272		Actual Copy Change Given	3.6569	3.6569	0.52485	3.6569	3.6569	2.9129	-0.3845	
Amplification Peak  9 - CN values	4q35.2  	chr4:190107526-190214555(probes 88320:88330)	chr4:190117519-190214555(probes 88321:88330)	chr4:190117519-190214555(probes 88321:88330)	0.15426	   0.15426		Actual Copy Change Given	-0.26419	3.6569	-0.12777	0.66876	3.6569	-0.57038	-0.058623	
Amplification Peak 10 - CN values	5p11    	chr5:46216553-46370424(probes 93033:93050)    	chr5:46218552-46360551(probes 93034:93049)    	chr5:46216552-49631118(probes 93032:93381)    	0.017717	  0.017717		Actual Copy Change Given	3.6569	3.6569	-0.053662	1.3583	3.6569	0.34357	0.91986	
Amplification Peak 11 - CN values	6p12.3  	chr6:49483138-49960108(probes 111437:111485)  	chr6:49493022-49950345(probes 111438:111484)  	chr6:49493022-49979634(probes 111438:111487)  	0.21115	   0.21115		Actual Copy Change Given	0.22643	0.010031	0.89724	3.6569	3.6569	0.52109	0.036627	
Amplification Peak 12 - CN values	6q11.1  	chr6:61392686-61495683(probes 112473:112484)  	chr6:61395685-61492684(probes 112474:112483)  	chr6:61395685-61503684(probes 112474:112486)  	0.03168	   0.03168		Actual Copy Change Given	2.661	3.3097	-0.60233	-0.57174	3.6569	0.52109	0.036627	
Amplification Peak 13 - CN values	7p11.1  	chr7:57898764-60949984(probes 129412:129722)  	chr7:57906430-60940984(probes 129413:129721)  	chr7:57906430-60967984(probes 129413:129724)  	0.024966	  0.071374		Actual Copy Change Given	3.6569	3.6569	0.61963	0.61234	3.6569	0.67204	-0.022665	
Amplification Peak 14 - CN values	7q11.21 	chr7:62438772-62524770(probes 129844:129850)  	chr7:62439771-62516770(probes 129845:129849)  	chr7:62438771-62544770(probes 129843:129855)  	0.03168	  0.096358		Actual Copy Change Given	3.6569	3.6569	0.68236	0.61234	3.6569	0.67204	-0.022665	
Amplification Peak 15 - CN values	8p11.1  	chr8:43736412-43915891(probes 143998:144023)  	chr8:43746059-43906058(probes 143999:144022)  	chr8:43746059-43935558(probes 143999:144025)  	0.039206	  0.039206		Actual Copy Change Given	3.6569	3.6569	0.3844	0.6935	3.6569	-0.19038	0.032904	
Amplification Peak 16 - CN values	8q12.1  	chr8:56489088-57356716(probes 145104:145197)  	chr8:56498955-57348216(probes 145105:145196)  	chr8:56498955-57373715(probes 145105:145199)  	0.17128	   0.17128		Actual Copy Change Given	0.21221	1.0504	3.6569	0.6935	3.6569	0.41387	0.97328	
Amplification Peak 17 - CN values	8q21.2  	chr8:85651949-85838835(probes 148077:148088)  	chr8:85661935-85828934(probes 148078:148087)  	chr8:85661935-85858637(probes 148078:148090)  	0.035429	  0.035429		Actual Copy Change Given	3.6569	3.6569	0.42222	0.6935	3.6569	0.45321	0.070899	
Amplification Peak 18 - CN values	9p12    	chr9:38963735-39031233(probes 158389:158397)  	chr9:38973235-39029234(probes 158390:158396)  	chr9:38973235-39047779(probes 158390:158401)  	0.017717	  0.017981		Actual Copy Change Given	3.6569	3.6569	0.18312	-0.4782	3.6569	0.53079	-0.95857	
Amplification Peak 19 - CN values	9p12    	chr9:39461902-39586233(probes 158448:158463)  	chr9:39469235-39585234(probes 158449:158462)  	chr9:39447235-39596234(probes 158445:158465)  	0.018567	  0.052645		Actual Copy Change Given	3.6569	2.3845	0.18312	-0.4782	3.6569	0.53079	-0.95857	
Amplification Peak 20 - CN values	9p11.2  	chr9:41563568-41669234(probes 158662:158671)  	chr9:41573235-41663234(probes 158663:158670)  	chr9:41445235-41675234(probes 158650:158673)  	0.041328	  0.047695		Actual Copy Change Given	1.917	2.8746	-1.2929	0.54802	3.6569	0.40655	-0.62716	
Amplification Peak 21 - CN values	9q13    	chr9:61368310-61673183(probes 160565:160577)  	chr9:61370309-61664308(probes 160566:160576)  	chr9:61370309-61690933(probes 160566:160579)  	0.017717	  0.017717		Actual Copy Change Given	3.6569	3.6569	0.094918	-1.2929	3.6569	0.44491	-0.35294	
Amplification Peak 22 - CN values	9q21.11 	chr9:64950310-65407308(probes 160854:160884)  	chr9:64952309-65397308(probes 160855:160883)  	chr9:64936309-65427308(probes 160849:160886)  	0.047852	  0.047852		Actual Copy Change Given	3.0939	2.3804	-0.041909	-0.37943	3.6053	0.36725	-0.35294	
Amplification Peak 23 - CN values	10p11.1 	chr10:38486313-38624252(probes 172056:172071)	chr10:38488312-38614311(probes 172057:172070)	chr10:38488312-38644134(probes 172057:172073)	0.01958	   0.01958		Actual Copy Change Given	3.6569	3.6569	-0.090779	0.11375	3.6569	0	0.033152	
Amplification Peak 24 - CN values	10p11.1 	chr10:38783313-38930223(probes 172090:172108)	chr10:38784312-38920311(probes 172091:172107)	chr10:38784312-38950046(probes 172091:172110)	0.01958	  0.059414		Actual Copy Change Given	3.6569	3.6569	-0.090779	0.23618	3.6569	0	0.033152	
Amplification Peak 25 - CN values	10p11.1 	chr10:39247400-39350311(probes 172142:172153)	chr10:39257312-39341311(probes 172143:172152)	chr10:39257312-39359311(probes 172143:172155)	0.020552	   0.11754		Actual Copy Change Given	3.6569	3.6569	-0.090779	0.23618	3.6569	0	0.033152	
Amplification Peak 26 - CN values	10q11.21	chr10:41841273-42107270(probes 172204:172236)	chr10:41842272-42105271(probes 172205:172235)	chr10:41841272-42137154(probes 172203:172240)	0.01958	  0.060539		Actual Copy Change Given	3.6569	3.6569	-1.0613	-0.038666	3.6569	0	0.033152	
Amplification Peak 27 - CN values	11p11.12	chr11:50553198-50689196(probes 186509:186524)	chr11:50560198-50682197(probes 186510:186523)	chr11:50445198-50694697(probes 186495:186526)	0.017717	  0.035055		Actual Copy Change Given	2.8504	3.5624	0.93521	0.13064	3.6569	0.33131	-0.029771	
Amplification Peak 28 - CN values	11q11   	chr11:54949825-55055699(probes 186595:186610)	chr11:54959825-55046824(probes 186596:186609)	chr11:54868825-55073449(probes 186584:186612)	0.017717	  0.031504		Actual Copy Change Given	3.6569	3.6569	0.6315	0.3161	3.6569	-0.02011	-0.029771	
Amplification Peak 29 - CN values	11q11   	chr11:55596826-55689823(probes 186678:186690)	chr11:55597825-55688824(probes 186679:186689)	chr11:55597825-55700814(probes 186679:186692)	0.017717	  0.025486		Actual Copy Change Given	3.6569	3.6569	-0.32371	0.3161	3.6569	-0.02011	-0.029771	
Amplification Peak 30 - CN values	12p11.1 	chr12:34524486-34597002(probes 198086:198097)	chr12:34533903-34587902(probes 198087:198096)	chr12:34533903-34615202(probes 198087:198099)	0.047852	  0.056355		Actual Copy Change Given	3.6569	2.397	1.1989	0.13728	2.7884	-0.10497	-0.037218	
Amplification Peak 31 - CN values	12q11   	chr12:37256029-37408001(probes 198371:198388)	chr12:37266003-37407002(probes 198372:198387)	chr12:34679903-37425127(probes 198110:198392)	0.017717	  0.017717		Actual Copy Change Given	3.6569	3.6569	0.30754	0.13728	3.6569	-0.10497	3.6569	
Amplification Peak 32 - CN values	15q11.2 	chr15:23154005-23369991(probes 227741:227762)	chr15:23164005-23360004(probes 227742:227761)	chr15:23164005-23389964(probes 227742:227764)	0.019384	  0.019384		Actual Copy Change Given	3.6569	3.6569	0.12718	-0.21533	3.6569	0.20678	0.033087	
Amplification Peak 33 - CN values	16p11.2 	chr16:34268276-34604719(probes 238820:238825)	chr16:34278220-34596219(probes 238821:238824)	chr16:34278220-34784719(probes 238821:238856)	0.017717	  0.017717		Actual Copy Change Given	3.6569	3.6569	-0.30436	0.83218	3.6569	-0.36339	0.015605	
Amplification Peak 34 - CN values	16q11.2 	chr16:35981506-46409419(probes 238983:239224)	chr16:46383420-46402419(probes 239221:239223)	chr16:35990220-46423418(probes 238984:239226)	0.017717	  0.017717		Actual Copy Change Given	3.6569	2.9624	-0.13568	0.95642	3.6569	-0.39629	0.015605	
Amplification Peak 35 - CN values	17p11.2 	chr17:21879313-21886310(probes 245870:245875)	chr17:21881312-21885311(probes 245871:245874)	chr17:21881312-21892311(probes 245871:245877)	0.017717	  0.017717		Actual Copy Change Given	3.6569	3.6569	0.15149	-0.44622	3.6569	-0.57714	-0.2193	
Amplification Peak 36 - CN values	17q11.1 	chr17:26766103-26950900(probes 246085:246104)	chr17:26775915-26940914(probes 246086:246103)	chr17:26775915-26970873(probes 246086:246106)	0.017717	  0.017717		Actual Copy Change Given	3.6569	3.6569	-0.24588	0.48894	3.6569	-0.15814	-0.2193	
Amplification Peak 37 - CN values	17q12   	chr17:36159693-36280358(probes 247036:247046)	chr17:36163692-36270691(probes 247037:247045)	chr17:36163692-36299691(probes 247037:247048)	0.017717	  0.017717		Actual Copy Change Given	3.6569	3.6569	-0.24588	3.6569	3.6569	-0.018497	-0.2193	
Amplification Peak 38 - CN values	18p11.1 	chr18:15374768-20841291(probes 253227:253775)	chr18:15384686-20831833(probes 253228:253774)	chr18:15384686-20860207(probes 253228:253777)	0.01958	   0.01958		Actual Copy Change Given	3.6569	3.2737	-0.14405	-0.19102	3.5169	-0.24244	-0.016509	
Amplification Peak 39 - CN values	19q11   	chr19:27485626-27567623(probes 262552:262562)	chr19:27488625-27566624(probes 262553:262561)	chr19:27429625-27593623(probes 262539:262566)	0.017717	  0.017717		Actual Copy Change Given	3.6569	3.6569	2.03	0.63725	3.6569	-0.18301	-0.076724	
Amplification Peak 40 - CN values	20p11.1 	chr20:26293066-26603704(probes 268385:268417)	chr20:26294065-26596705(probes 268386:268416)	chr20:26294065-28559702(probes 268386:268419)	0.030117	  0.038674		Actual Copy Change Given	3.6569	3.6569	0.17823	-0.67527	3.6569	1.1341	0.023897	
Amplification Peak 41 - CN values	20q11.21	chr20:31048385-31244097(probes 268659:268681)	chr20:31057099-31243098(probes 268660:268680)	chr20:30996099-31253949(probes 268652:268683)	0.027593	  0.034192		Actual Copy Change Given	3.6569	3.6569	0.17823	0.045319	3.6569	0.61532	0.023897	
Amplification Peak 42 - CN values	21p12   	chr21:5245501-6376978(probes 272051:272062)    	chr21:5255001-6367000(probes 272052:272061)    	chr21:5255001-6396933(probes 272052:272064)    	0.017717	  0.017717		Actual Copy Change Given	3.6569	3.6569	-0.56812	0.50207	3.6569	-0.013796	-0.73447	
Amplification Peak 43 - CN values	21p11.2 	chr21:7316251-7979875(probes 272164:272220)    	chr21:7324001-7970000(probes 272165:272219)    	chr21:7324001-7999625(probes 272165:272222)    	0.061199	   0.07477		Actual Copy Change Given	3.6569	1.3748	-0.56812	0.50207	3.6569	-0.013796	-0.73447	
