Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	ACH-000082	ACH-001001	ACH-001275	ACH-000364	ACH-002067	ACH-002834	ACH-002471	ACH-001526	ACH-001715	ACH-002690	ACH-002470	ACH-000359	ACH-002069	ACH-001814	ACH-000410	ACH-000748	
Amplification Peak 11	4p16.1  	chr4:8974370-9486367(probes 70840:70904)          	chr4:8975369-9103368(probes 70841:70854)          	chr4:8974369-9489367(probes 70839:70906)          	0.030146	   0.030146		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	1	1	2	2	2	2	0	0	0	2	0	2	0	
Amplification Peak 12	4p11    	chr4:49081024-49157022(probes 74941:74953)      	chr4:49091024-49155023(probes 74942:74952)      	chr4:49091024-54451428(probes 74942:75532)      	1.5842e-11	 8.1108e-09		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	2	0	2	0	2	0	
Amplification Peak 13	4p11    	chr4:49656025-49718988(probes 75042:75045)      	chr4:49657024-49709023(probes 75043:75044)      	chr4:49091024-54451428(probes 74942:75532)      	7.1558e-12	 1.8382e-09		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	1	2	2	0	1	2	2	2	2	0	
Amplification Peak 14	5p12    	chr5:46041553-46089550(probes 93919:93928)      	chr5:46044552-46087551(probes 93920:93927)      	chr5:45837552-50174557(probes 93894:94311)      	1.6984e-08	   0.051421		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	1	0	2	2	1	2	2	
Amplification Peak 15	5p11    	chr5:46252952-46321351(probes 93953:93960)      	chr5:46261552-46311551(probes 93954:93959)      	chr5:45837552-50174557(probes 93894:94311)      	8.6556e-12	 1.4643e-09		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	1	0	2	2	1	2	2	
Amplification Peak 16	6p21.1  	chr6:44554385-44637327(probes 112090:112100)    	chr6:44563051-44628827(probes 112091:112099)    	chr6:44563051-44654327(probes 112091:112102)    	0.19679	    0.19679		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	0	1	0	0	2	2	2	0	1	1	2	2	2	1	1	0	
Amplification Peak 17	6q11.1  	chr6:61383686-61495683(probes 113684:113693)    	chr6:61392685-61492684(probes 113685:113692)    	chr6:61392685-61615691(probes 113685:113705)    	7.2242e-05	 7.2242e-05		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	0	2	2	2	2	1	0	0	1	1	2	0	
Amplification Peak 18	7p11.1  	chr7:57905431-60940983(probes 130833:131145)    	chr7:57913430-60939984(probes 130836:131144)    	chr7:57906430-60950859(probes 130834:131149)    	4.1768e-09	 5.3393e-07		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	1	0	1	1	2	1	2	0	
Amplification Peak 19	7q11.1  	chr7:61012986-61084848(probes 131159:131167)    	chr7:61017985-61074984(probes 131160:131166)    	chr7:61012985-61923770(probes 131158:131217)    	0.00022272	   0.089062		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	0	2	2	2	2	2	2	2	1	0	1	1	2	1	1	0	
Amplification Peak 20	7q11.21 	chr7:62438772-62524770(probes 131269:131275)    	chr7:62439771-62516770(probes 131270:131274)    	chr7:62277771-62993769(probes 131241:131356)    	5.3184e-11	 1.3607e-09		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	1	1	2	1	2	0	
Amplification Peak 21	7q11.21 	chr7:63503772-63581769(probes 131410:131419)    	chr7:63504771-63578770(probes 131411:131418)    	chr7:63504771-63857843(probes 131411:131431)    	1.2948e-05	 7.0616e-05		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	1	2	2	0	2	2	2	2	0	0	1	0	2	1	2	0	
Amplification Peak 22	8p23.1  	chr8:12324314-12538311(probes 142242:142263)    	chr8:12328313-12537312(probes 142243:142262)    	chr8:12323313-12565740(probes 142239:142267)    	0.021899	   0.021899		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	0	2	0	0	2	1	2	2	0	1	1	2	0	1	2	
Amplification Peak 23	8p11.1  	chr8:43752060-43915891(probes 145488:145514)    	chr8:43758059-43906058(probes 145489:145513)    	chr8:43746059-46001469(probes 145486:145533)    	4.6691e-09	 4.6691e-09		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	1	1	2	0	2	0	
Amplification Peak 24	8q21.2  	chr8:85652021-85838671(probes 149692:149703)    	chr8:85661935-85828934(probes 149693:149702)    	chr8:85661935-85858144(probes 149693:149705)    	1.2323e-05	 2.0917e-05		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	1	1	2	2	2	1	0	1	1	2	1	2	0	
Amplification Peak 25	8q23.1  	chr8:106946415-107186105(probes 151840:151867)	chr8:106954414-107176413(probes 151841:151866)	chr8:106954414-107694108(probes 151841:151924)	0.060017	    0.17121		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	1	2	0	2	0	2	2	2	0	1	1	2	1	2	0	
Amplification Peak 26	8q24.21 	chr8:127535190-127969485(probes 154108:154154)	chr8:127545069-127961002(probes 154109:154153)	chr8:122306557-129614147(probes 153531:154340)	0.00044456	  0.0072277		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	1	2	2	2	0	2	1	2	0	2	2	2	1	2	0	
Amplification Peak 27	8q24.3  	chr8:138469103-141158409(probes 155337:155572)	chr8:139669223-139760222(probes 155469:155479)	chr8:136659467-141472043(probes 155132:155610)	0.0096722	    0.11083		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	1	2	2	2	0	2	2	2	0	0	2	2	1	2	0	
Amplification Peak 28	9p12    	chr9:38963735-39031233(probes 160156:160164)    	chr9:38973235-39029234(probes 160157:160163)    	chr9:38973235-39063234(probes 160157:160174)    	1.7552e-06	 0.00013322		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	1	1	2	2	2	0	1	0	2	1	2	0	
Amplification Peak 29	9p12    	chr9:39461902-39586233(probes 160191:160206)    	chr9:39469235-39585234(probes 160192:160205)    	chr9:39150235-40868233(probes 160186:160309)    	6.2459e-05	    0.12184		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	1	2	2	2	0	1	0	2	1	1	0	
Amplification Peak 30	9p11.2  	chr9:39856985-40863233(probes 160220:160307)    	chr9:40825235-40858234(probes 160303:160306)    	chr9:39150235-40868233(probes 160186:160309)    	5.4036e-05	   0.048697		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	1	0	2	1	2	0	
Amplification Peak 31	9p11.2  	chr9:41614236-41647233(probes 160393:160401)    	chr9:41618235-41646234(probes 160394:160400)    	chr9:41445235-41697948(probes 160379:160416)    	8.9264e-09	 1.8753e-08		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	0	1	2	1	2	0	
Amplification Peak 32	9q11    	chr9:43170236-43216233(probes 160571:160579)    	chr9:43179235-43215234(probes 160572:160578)    	chr9:42578235-61676165(probes 160520:162341)    	1.207e-10	 3.4718e-09		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	1	2	2	2	0	1	0	2	1	2	0	
Amplification Peak 33	9q13    	chr9:61368310-61599508(probes 162327:162333)    	chr9:61370309-61591308(probes 162328:162332)    	chr9:42578235-61676165(probes 160520:162341)    	5.6529e-08	 1.7772e-05		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	1	2	1	2	0	2	0	0	0	2	1	2	0	
Amplification Peak 34	9q21.11 	chr9:65071559-65383308(probes 162583:162586)    	chr9:65079309-65376308(probes 162584:162585)    	chr9:64846309-65538307(probes 162571:162605)    	3.9994e-06	 1.3619e-05		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	1	0	0	0	2	1	2	0	
Amplification Peak 35	9q21.11 	chr9:66797310-66844307(probes 162738:162748)    	chr9:66798309-66843308(probes 162739:162747)    	chr9:66797309-66888808(probes 162737:162754)    	0.00079859	  0.0028927		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	0	2	2	2	0	2	0	1	0	0	0	2	1	2	0	
Amplification Peak 36	10p11.1 	chr10:38486313-38615310(probes 174005:174020)  	chr10:38488312-38614311(probes 174006:174019)  	chr10:38484312-38625193(probes 174002:174022)  	8.9039e-12	 3.0552e-11		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	2	0	0	2	0	2	0	
Amplification Peak 37	10p11.1 	chr10:38783313-38930223(probes 174041:174059)  	chr10:38784312-38920311(probes 174042:174058)  	chr10:38783312-38950046(probes 174040:174061)  	1.4508e-11	 6.7713e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	2	0	1	2	0	2	0	
Amplification Peak 38	10p11.1 	chr10:39273313-39344310(probes 174098:174107)  	chr10:39274312-39341311(probes 174099:174106)  	chr10:39257312-42136180(probes 174094:174210)  	4.6691e-09	 0.00034033		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	2	0	1	2	0	2	0	
Amplification Peak 39	10p11.1 	chr10:39530313-39569310(probes 174147:174155)  	chr10:39532312-39568311(probes 174148:174154)  	chr10:39257312-42136180(probes 174094:174210)  	3.9318e-10	 0.00071395		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	0	2	0	1	2	0	2	0	
Amplification Peak 40	10q11.21	chr10:41842273-41912270(probes 174177:174188)  	chr10:41843272-41911271(probes 174178:174187)  	chr10:39257312-42136180(probes 174094:174210)  	1.4257e-12	 1.4568e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	2	0	0	2	0	2	0	
Amplification Peak 41	11p11.12	chr11:50578198-50683196(probes 188663:188675)  	chr11:50587198-50682197(probes 188664:188674)  	chr11:50444198-55077824(probes 188642:188778)  	5.2917e-10	 1.6163e-06		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	1	2	2	1	2	0	2	1	2	0	
Amplification Peak 42	11q11   	chr11:54959826-55022824(probes 188756:188764)  	chr11:54960825-55013824(probes 188757:188763)  	chr11:50444198-55077824(probes 188642:188778)  	2.2642e-11	 2.7772e-08		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	1	1	2	0	2	0	
Amplification Peak 43	11q11   	chr11:55197326-55215823(probes 188799:188802)  	chr11:55204825-55214824(probes 188800:188801)  	chr11:55124825-55368593(probes 188786:188820)  	2.521e-10	 2.7318e-06		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	1	2	2	2	2	0	0	1	2	0	2	0	
Amplification Peak 44	11q11   	chr11:55596826-55608823(probes 188846:188849)  	chr11:55597825-55598824(probes 188847:188848)  	chr11:55596825-55720538(probes 188845:188876)  	3.0552e-11	 3.3427e-09		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	0	1	2	0	2	0	
Amplification Peak 45	12p11.1 	chr12:34543904-34587901(probes 200602:200610)  	chr12:34544903-34584902(probes 200603:200609)  	chr12:34420903-34615202(probes 200584:200614)  	6.7033e-10	 2.1447e-07		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	2	0	2	0	2	0	
Amplification Peak 46	12q11   	chr12:37256029-37407001(probes 200882:200898)  	chr12:37266003-37406002(probes 200883:200897)  	chr12:34678903-37425127(probes 200623:200906)  	2.0879e-12	 1.0524e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	1	0	2	0	2	2	
Amplification Peak 47	12q11   	chr12:37618004-37626001(probes 200934:200937)  	chr12:37623003-37625002(probes 200935:200936)  	chr12:37597003-38044287(probes 200930:200988)  	1.2323e-05	 0.00046301		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	1	0	2	0	2	1	
Amplification Peak 48	15q11.2 	chr15:23163006-23191003(probes 230065:230069)  	chr15:23164005-23189004(probes 230066:230068)  	chr15:23164005-23373803(probes 230066:230090)  	9.5473e-11	 9.5473e-11		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	1	2	2	2	2	2	2	2	2	0	0	0	2	1	2	0	
Amplification Peak 49	15q26.3 	chr15:97305235-101991189(probes 237426:237910)	chr15:98507227-99215001(probes 237555:237626)  	chr15:97836177-101991189(probes 237484:237910)	0.049253	   0.049253		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	0	2	2	2	1	1	2	1	1	1	0	2	0	
Amplification Peak 50	16p11.2 	chr16:34060221-34100218(probes 241314:241323)  	chr16:34061220-34099219(probes 241315:241322)  	chr16:34060220-34110108(probes 241313:241325)  	2.351e-05	  0.0024524		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	1	2	2	2	2	1	0	0	1	2	0	2	0	
Amplification Peak 51	16p11.2 	chr16:34571221-34604719(probes 241345:241350)  	chr16:34572220-34596219(probes 241346:241349)  	chr16:34278220-34788819(probes 241344:241388)  	3.0552e-11	 1.2312e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	0	1	2	0	2	0	
Amplification Peak 52	16p11.1 	chr16:35988221-36043552(probes 241528:241535)  	chr16:35990220-36034219(probes 241529:241534)  	chr16:35928220-46423418(probes 241514:241771)  	5.5092e-11	 5.5092e-11		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	0	0	2	0	2	0	
Amplification Peak 53	17p13.1 	chr17:8252693-8938704(probes 247071:247150)      	chr17:8262453-8930204(probes 247072:247149)      	chr17:8262453-8947204(probes 247072:247152)      	0.041359	   0.062197		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	1	0	0	1	2	2	2	0	0	0	1	2	0	0	0	
Amplification Peak 54	17p11.2 	chr17:21883313-21886310(probes 248542:248545)  	chr17:21884312-21885311(probes 248543:248544)  	chr17:21845312-22051311(probes 248529:248638)  	3.7816e-09	 5.1271e-06		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	2	0	0	2	0	2	0	
Amplification Peak 55	17p11.2 	chr17:21965313-21986310(probes 248624:248628)  	chr17:21968312-21985311(probes 248625:248627)  	chr17:21845312-22051311(probes 248529:248638)  	1.2312e-10	 3.7469e-08		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	2	0	0	2	0	2	0	
Amplification Peak 56	17q11.1 	chr17:26775916-26950514(probes 248797:248816)  	chr17:26776915-26940914(probes 248798:248815)  	chr17:26775915-26969714(probes 248796:248818)  	1.2312e-10	 1.2312e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	0	1	2	0	2	0	
Amplification Peak 57	17q12   	chr17:36163693-36271690(probes 249766:249774)  	chr17:36169692-36270691(probes 249767:249773)  	chr17:36163692-36417691(probes 249765:249780)  	7.7371e-13	 7.7371e-13		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	0	
Amplification Peak 58	18p11.1 	chr18:15374768-20580188(probes 255868:256393)  	chr18:15384686-15792127(probes 255869:255910)  	chr18:15384686-20940955(probes 255869:256432)  	1.2312e-10	 1.2312e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	0	0	2	0	2	0	
Amplification Peak 59	19p12   	chr19:20412035-20544980(probes 264278:264299)  	chr19:20413034-20535033(probes 264279:264298)  	chr19:20413034-20564874(probes 264279:264301)  	0.027947	   0.040708		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	0	1	2	2	2	2	1	0	0	0	0	2	0	
Amplification Peak 60	19q11   	chr19:27549825-27567623(probes 265004:265007)  	chr19:27558625-27566624(probes 265005:265006)  	chr19:24329554-27777623(probes 264692:265038)  	9.3661e-13	 1.0412e-12		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	2	2	1	2	0	2	0	
Amplification Peak 61	20p11.1 	chr20:26325066-26601704(probes 270974:271003)  	chr20:26327065-26596705(probes 270975:271002)  	chr20:26291065-26603704(probes 270961:271005)  	4.9905e-10	 5.9536e-09		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	1	1	0	2	2	2	0	
Amplification Peak 62	20q11.1 	chr20:28825626-28869224(probes 271034:271039)  	chr20:28834625-28859624(probes 271035:271038)  	chr20:28748625-29079623(probes 271022:271059)  	3.2457e-06	 0.00016913		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	0	
Amplification Peak 63	20q11.1 	chr20:29888420-30138097(probes 271222:271233)  	chr20:29893419-30137098(probes 271223:271232)  	chr20:29888419-30141097(probes 271221:271235)  	0.00343	   0.022712		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	2	2	0	1	2	1	1	1	0	2	1	2	0	
Amplification Peak 64	20q11.21	chr20:31047099-31177097(probes 271365:271379)  	chr20:31057099-31171098(probes 271366:271378)  	chr20:30996099-31254772(probes 271357:271395)  	1.2312e-10	 1.5977e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	1	0	2	1	2	0	
Amplification Peak 65	21p12   	chr21:5245501-6376950(probes 274903:274914)      	chr21:5255001-6367000(probes 274904:274913)      	chr21:5255001-6396850(probes 274904:274916)      	3.4135e-12	 3.4135e-12		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	1	0	1	2	0	2	0	
Amplification Peak 66	21p11.2 	chr21:7324002-7959999(probes 274953:274965)      	chr21:7325001-7958000(probes 274954:274964)      	chr21:7324001-7976999(probes 274952:274973)      	1.4389e-10	 1.4389e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	0	1	2	0	2	0	
Amplification Peak 67	21p11.2 	chr21:9007501-9042999(probes 275077:275083)      	chr21:9017001-9042000(probes 275078:275082)      	chr21:9017001-9322400(probes 275078:275098)      	0.016415	   0.032065		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	0	2	0	2	2	0	0	2	0	0	1	2	0	1	0	
Amplification Peak 68	21p11.2 	chr21:9788751-9830500(probes 275139:275143)      	chr21:9798001-9823000(probes 275140:275142)      	chr21:9367001-9866500(probes 275106:275148)      	0.001795	  0.0032644		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	1	2	2	2	2	2	2	1	1	0	2	2	0	1	0	
Amplification Peak 69	21p11.2 	chr21:10664002-10736999(probes 275257:275265)  	chr21:10674001-10732000(probes 275258:275264)  	chr21:10653001-13067344(probes 275253:275299)  	3.6739e-11	 3.6739e-11		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	1	1	2	2	0	2	0	
Amplification Peak 70	22p11.2 	chr22:1-10718000(probes 278763:278776)         	chr22:1-10708000(probes 278763:278775)         	chr22:1-10728000(probes 278763:278778)         	2.7747e-06	 1.1884e-05		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	1	0	0	0	0	0	2	0	2	0	
Amplification Peak 71	22p11.2 	chr22:11786002-12029999(probes 278851:278894)  	chr22:11787001-11932000(probes 278852:278869)  	chr22:11711001-12030999(probes 278850:278896)  	2.0505e-06	 8.6056e-06		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	1	0	2	0	2	0	2	0	2	0	
Amplification Peak 72	22p11.2 	chr22:12415002-12438999(probes 278947:278951)  	chr22:12416001-12436000(probes 278948:278950)  	chr22:12225001-12710000(probes 278929:278979)  	2.4698e-05	 2.4698e-05		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	1	1	0	2	0	2	0	2	0	
Amplification Peak 73	22q11.1 	chr22:16022069-16072067(probes 279088:279094)  	chr22:16032069-16064068(probes 279089:279093)  	chr22:15940069-16079067(probes 279077:279100)  	8.3734e-08	 1.1603e-07		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	1	2	2	2	2	0	1	0	2	0	2	0	
Amplification Peak 74	22q11.1 	chr22:16258070-16394849(probes 279126:279138)  	chr22:16259069-16385068(probes 279127:279137)  	chr22:16259069-16414412(probes 279127:279140)  	0.011279	   0.015309		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	0	0	0	2	2	1	0	1	0	2	0	0	0	
Deletion Peak 1	3q13.31 	chr3:116832899-116944897(probes 61690:61725)  	chr3:116840899-116943898(probes 61691:61724)  	chr3:116658907-117032897(probes 61618:61757)  	0.00065838	 0.00065838		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	
Deletion Peak 2	7q35    	chr7:147186284-147212616(probes 139938:139945)	chr7:147193617-147204616(probes 139939:139944)	chr7:147193617-147228615(probes 139939:139947)	0.16178	    0.16178		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	
Deletion Peak 3	9p11.1  	chr9:42292236-42325233(probes 160479:160485)    	chr9:42293235-42324234(probes 160480:160484)    	chr9:42292235-42335234(probes 160478:160487)    	0.039055	   0.039055		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	
Deletion Peak 4	9q13    	chr9:64365310-64462808(probes 162539:162547)    	chr9:64366309-64453308(probes 162540:162546)    	chr9:64366309-64801933(probes 162540:162564)    	0.014834	   0.014834		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	
Deletion Peak 5	10q11.22	chr10:47580458-47648455(probes 174785:174795)  	chr10:47582457-47646456(probes 174786:174794)  	chr10:47582457-47691455(probes 174786:174813)  	0.00049242	 0.00049242		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	
Deletion Peak 6	15q11.2 	chr15:20002006-22377003(probes 229824:229999)  	chr15:21434005-21537004(probes 229955:229962)  	chr15:19999005-22560003(probes 229823:230001)  	0.00045227	 0.00045227		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	
Deletion Peak 7	16p11.1 	chr16:35417370-35525218(probes 241458:241470)  	chr16:35427220-35523219(probes 241459:241469)  	chr16:35230220-35535048(probes 241438:241472)  	0.00045227	 0.00045227		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
Deletion Peak 8	17p11.2 	chr17:21949313-21958310(probes 248604:248615)  	chr17:21950312-21957311(probes 248605:248614)  	chr17:21932312-21964310(probes 248573:248619)  	0.019131	   0.019131		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	0	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	
