Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	ACH-000082	ACH-000364	ACH-002067	ACH-002834	ACH-002471	ACH-001526	ACH-001715	ACH-002690	ACH-000410	
Amplification Peak 11	4p16.1  	chr4:8974370-9486367(probes 70251:70310)          	chr4:8975369-9103368(probes 70252:70265)          	chr4:8974369-9489367(probes 70250:70312)          	0.093412	   0.093412		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	1	1	2	2	2	2	0	2	
Amplification Peak 12	4p11    	chr4:49081041-49290022(probes 74331:74355)      	chr4:49091024-49286023(probes 74332:74354)      	chr4:49091024-49738917(probes 74332:74430)      	1.3606e-08	 1.3606e-08		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 13	5p12    	chr5:46041553-46089550(probes 93175:93184)      	chr5:46044552-46087551(probes 93176:93183)      	chr5:45837552-50173557(probes 93150:93606)      	4.5338e-07	    0.06761		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	1	2	
Amplification Peak 14	5p11    	chr5:46252952-46321351(probes 93209:93216)      	chr5:46261552-46311551(probes 93210:93215)      	chr5:45837552-50173557(probes 93150:93606)      	4.7521e-10	 2.2206e-07		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	1	2	
Amplification Peak 15	6q11.1  	chr6:61385686-61511017(probes 113006:113016)    	chr6:61392685-61502684(probes 113007:113015)    	chr6:61392685-61596548(probes 113007:113022)    	0.00067694	 0.00067694		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	2	2	2	2	1	2	
Amplification Peak 16	7p11.1  	chr7:57905431-60940983(probes 129952:130264)    	chr7:57913430-60939984(probes 129955:130263)    	chr7:57906430-60950859(probes 129953:130268)    	1.8467e-06	 1.4683e-05		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	1	0	2	
Amplification Peak 17	7q11.21 	chr7:62437772-62538769(probes 130380:130392)    	chr7:62438771-62533770(probes 130381:130391)    	chr7:62436771-63003630(probes 130377:130464)    	3.4098e-09	 2.4434e-08		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 18	7q11.21 	chr7:63503772-63581769(probes 130516:130525)    	chr7:63504771-63578770(probes 130517:130524)    	chr7:63504771-63663773(probes 130517:130529)    	0.0029917	   0.010828		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	1	0	2	2	2	2	0	0	2	
Amplification Peak 19	8p23.1  	chr8:12324314-12538311(probes 141186:141207)    	chr8:12328313-12537312(probes 141187:141206)    	chr8:12328313-12565740(probes 141187:141211)    	0.056813	   0.056813		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	0	0	2	1	2	2	0	1	
Amplification Peak 20	8p11.1  	chr8:43752060-43916034(probes 144394:144414)    	chr8:43758059-43906058(probes 144395:144413)    	chr8:43746059-46001469(probes 144392:144626)    	5.1782e-07	 5.1782e-07		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 21	8q21.2  	chr8:85652021-85838671(probes 148719:148730)    	chr8:85661935-85828934(probes 148720:148729)    	chr8:85661935-85858144(probes 148720:148732)    	0.0028436	  0.0028436		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	1	1	2	2	2	1	0	2	
Amplification Peak 22	8q24.22 	chr8:134939384-134971651(probes 153821:153825)	chr8:134948717-134961716(probes 153822:153824)	chr8:132870072-136541066(probes 153596:153991)	0.014663	   0.014663		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	0	2	2	2	0	2	
Amplification Peak 23	9p11.2  	chr9:39856985-40867734(probes 158775:158862)    	chr9:39866235-40858234(probes 158776:158861)    	chr9:39150235-40886734(probes 158747:158864)    	0.0065966	   0.011377		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 24	9p11.2  	chr9:41608764-41647233(probes 158942:158947)    	chr9:41618235-41646234(probes 158943:158946)    	chr9:41445235-41701567(probes 158925:158958)    	1.4116e-06	 1.9715e-06		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 25	9q11    	chr9:43170236-43216233(probes 159118:159126)    	chr9:43179235-43215234(probes 159119:159125)    	chr9:42578235-60582235(probes 159069:160867)    	2.9642e-08	 1.6603e-06		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	1	2	2	2	0	2	
Amplification Peak 26	9q13    	chr9:61360333-61599508(probes 160947:160953)    	chr9:61370309-61591308(probes 160948:160952)    	chr9:61370309-61676291(probes 160948:160961)    	9.3177e-05	   0.018516		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	1	2	1	2	0	2	0	2	
Amplification Peak 27	9q21.11 	chr9:65069666-65383308(probes 161222:161225)    	chr9:65079309-65376308(probes 161223:161224)    	chr9:64846309-65555245(probes 161204:161248)    	0.0013684	  0.0031493		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	1	0	2	
Amplification Peak 28	9q21.11 	chr9:66797310-66844307(probes 161376:161386)    	chr9:66798309-66843308(probes 161377:161385)    	chr9:66797309-66890308(probes 161375:161392)    	0.013294	   0.029306		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	0	2	0	1	0	2	
Amplification Peak 29	10p11.1 	chr10:38486313-38615310(probes 172549:172564)  	chr10:38488312-38614311(probes 172550:172563)  	chr10:38484312-38625193(probes 172546:172566)  	4.7521e-10	 1.4646e-09		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	
Amplification Peak 30	10p11.1 	chr10:38783313-38930223(probes 172585:172601)  	chr10:38784312-38920311(probes 172586:172600)  	chr10:38783312-38950046(probes 172584:172603)  	4.7521e-10	 2.9642e-08		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	
Amplification Peak 31	10p11.1 	chr10:39273313-39344310(probes 172640:172649)  	chr10:39274312-39341311(probes 172641:172648)  	chr10:39257312-42136180(probes 172636:172741)  	1.5062e-06	   0.018555		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	
Amplification Peak 32	10p11.1 	chr10:39528313-39569310(probes 172680:172688)  	chr10:39529312-39568311(probes 172681:172687)  	chr10:39257312-42136180(probes 172636:172741)  	9.5696e-08	   0.018179		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	0	2	2	
Amplification Peak 33	10q11.21	chr10:41842273-42093271(probes 172710:172728)  	chr10:41843272-42086271(probes 172711:172727)  	chr10:39257312-42136180(probes 172636:172741)  	2.955e-11	 2.8758e-09		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	
Amplification Peak 34	11p11.12	chr11:50578198-50683196(probes 187150:187162)  	chr11:50587198-50682197(probes 187151:187161)  	chr11:50444198-54577410(probes 187130:187554)  	2.7797e-07	  0.0002113		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	1	2	2	1	2	
Amplification Peak 35	11q11   	chr11:54959826-55022824(probes 187607:187615)  	chr11:54960825-55013824(probes 187608:187614)  	chr11:54864825-55076967(probes 187587:187627)  	2.8758e-09	  1.686e-06		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 36	11q11   	chr11:55197326-55215823(probes 187644:187647)  	chr11:55204825-55214824(probes 187645:187646)  	chr11:55183825-55245132(probes 187640:187651)  	4.6237e-06	   0.038191		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	2	2	2	2	0	2	
Amplification Peak 37	11q11   	chr11:55596826-55608823(probes 187690:187693)  	chr11:55597825-55598824(probes 187691:187692)  	chr11:55596825-55720538(probes 187689:187720)  	3.1821e-09	 3.5988e-07		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 38	12p11.1 	chr12:34543904-34587901(probes 199447:199455)  	chr12:34544903-34584902(probes 199448:199454)  	chr12:34420903-34615502(probes 199429:199459)  	5.9322e-07	 0.00037382		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 39	12q11   	chr12:34691904-37407001(probes 199472:199738)  	chr12:34695903-37406002(probes 199473:199737)  	chr12:34679903-37439212(probes 199468:199746)  	2.9376e-09	 4.1211e-07		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 40	12q11   	chr12:37618004-37626001(probes 199770:199773)  	chr12:37623003-37625002(probes 199771:199772)  	chr12:37597003-38044287(probes 199766:199821)  	3.8033e-06	 8.1325e-05		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 41	15q11.2 	chr15:23163006-23191003(probes 228615:228619)  	chr15:23164005-23189004(probes 228616:228618)  	chr15:23164005-23373803(probes 228616:228640)  	2.0112e-08	 2.0112e-08		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	1	2	2	2	2	2	2	0	2	
Amplification Peak 42	15q26.3 	chr15:97305235-101991189(probes 235927:236408)	chr15:98507227-99215001(probes 236055:236126)  	chr15:97315172-101991189(probes 235928:236408)	0.021188	   0.021188		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	0	2	2	2	1	1	2	2	
Amplification Peak 43	16p11.2 	chr16:34571221-34772218(probes 239876:239908)  	chr16:34572220-34771219(probes 239877:239907)  	chr16:34278220-34788819(probes 239875:239914)  	8.3126e-10	 8.3126e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 44	16p11.1 	chr16:35988221-36043552(probes 240052:240059)  	chr16:35990220-36034219(probes 240053:240058)  	chr16:35929220-46423418(probes 240040:240294)  	2.4598e-09	 2.4598e-09		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 45	17p13.1 	chr17:8486465-8939886(probes 245573:245620)      	chr17:8496205-8930204(probes 245574:245619)      	chr17:8262453-9791765(probes 245549:245713)      	0.0028436	    0.02223		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	0	1	2	2	2	0	0	0	
Amplification Peak 46	17p11.2 	chr17:21958313-21987310(probes 246880:246884)  	chr17:21968312-21985311(probes 246881:246883)  	chr17:21845312-22052422(probes 246827:246890)  	2.9642e-08	  2.785e-07		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	0	
Amplification Peak 47	17q11.1 	chr17:26775916-26950514(probes 246991:247010)  	chr17:26776915-26940914(probes 246992:247009)  	chr17:26775915-26969714(probes 246990:247012)  	4.2386e-10	 4.7521e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 48	17q12   	chr17:36163693-36271690(probes 247951:247959)  	chr17:36169692-36270691(probes 247952:247958)  	chr17:36163692-36417691(probes 247950:247965)  	4.2386e-10	 4.2386e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 49	17q24.3 	chr17:56246652-80949236(probes 249852:252369)  	chr17:71022960-71108959(probes 251370:251379)  	chr17:71022960-71138530(probes 251370:251382)  	0.15679	    0.15679		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	0	2	0	2	1	0	2	2	2	
Amplification Peak 50	18p11.1 	chr18:15374793-20580188(probes 254076:254601)  	chr18:15384686-15792127(probes 254077:254118)  	chr18:15384686-20940955(probes 254077:254640)  	2.4134e-08	 2.4134e-08		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 51	19p12   	chr19:20412035-20544980(probes 262424:262439)  	chr19:20413034-20535033(probes 262425:262438)  	chr19:20413034-20564874(probes 262425:262441)  	0.024992	   0.047436		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	0	1	2	2	2	2	1	2	
Amplification Peak 52	19q11   	chr19:27549825-27577533(probes 263132:263135)  	chr19:27558625-27567624(probes 263133:263134)  	chr19:24329554-29326789(probes 262830:263329)  	1.2144e-10	 1.9749e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	
Amplification Peak 53	20p11.1 	chr20:26325066-26601704(probes 269018:269047)  	chr20:26327065-26596705(probes 269019:269046)  	chr20:26291065-26611685(probes 269007:269049)  	2.9642e-08	  2.183e-07		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	1	2	
Amplification Peak 54	20q11.1 	chr20:28763959-28869224(probes 269261:269275)  	chr20:28771625-28859624(probes 269262:269274)  	chr20:28748625-29023374(probes 269258:269288)  	7.369e-05	  0.0012965		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	1	2	
Amplification Peak 55	20q11.1 	chr20:29888420-30138097(probes 269463:269474)  	chr20:29893419-30137098(probes 269464:269473)  	chr20:29888419-30141097(probes 269462:269476)  	0.030509	    0.13038		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	0	1	2	1	1	2	
Amplification Peak 56	20q11.21	chr20:31047099-31177097(probes 269606:269620)  	chr20:31057099-31171098(probes 269607:269619)  	chr20:30994099-31254772(probes 269596:269634)  	3.9374e-09	 1.6181e-08		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 57	21p12   	chr21:5245501-6376950(probes 273099:273110)      	chr21:5255001-6367000(probes 273100:273109)      	chr21:5255001-6396850(probes 273100:273112)      	4.2386e-10	 4.2386e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	1	2	
Amplification Peak 58	21p11.2 	chr21:7324002-7959999(probes 273146:273158)      	chr21:7325001-7958000(probes 273147:273157)      	chr21:7324001-7976999(probes 273145:273166)      	6.1942e-08	 6.1942e-08		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 59	21p11.2 	chr21:9007501-9042999(probes 273268:273274)      	chr21:9017001-9042000(probes 273269:273273)      	chr21:9017001-9097000(probes 273269:273278)      	0.096893	   0.096893		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	0	2	2	0	0	2	0	1	
Amplification Peak 60	21p11.2 	chr21:9788064-9847500(probes 273325:273330)      	chr21:9798001-9838000(probes 273326:273329)      	chr21:9638001-9866500(probes 273309:273332)      	0.093412	   0.093412		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	1	2	2	2	2	1	1	0	
Amplification Peak 61	21p11.2 	chr21:10653002-10736999(probes 273434:273444)  	chr21:10654001-10732000(probes 273435:273443)  	chr21:10654001-13027557(probes 273435:273470)  	1.4814e-08	 1.4814e-08		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	1	2	
Amplification Peak 62	22p11.2 	chr22:1-10718000(probes 276914:276927)         	chr22:1-10708000(probes 276914:276926)         	chr22:1-10728000(probes 276914:276929)         	0.0057927	  0.0094368		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	1	0	0	0	2	
Amplification Peak 63	22p11.2 	chr22:11701335-12029999(probes 277026:277071)  	chr22:11787001-11932000(probes 277029:277046)  	chr22:11711001-12030999(probes 277027:277073)  	0.0020938	   0.003229		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	1	0	2	0	2	
Amplification Peak 64	22p11.2 	chr22:12415002-12538000(probes 277121:277135)  	chr22:12416001-12530000(probes 277122:277134)  	chr22:12416001-12553999(probes 277122:277137)  	0.06761	    0.06761		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	1	1	0	2	
Amplification Peak 65	22q11.1 	chr22:16022069-16072067(probes 277263:277269)  	chr22:16032069-16064068(probes 277264:277268)  	chr22:15940069-16103278(probes 277252:277275)  	1.86e-05	   1.86e-05		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	2	2	2	2	0	2	
Deletion Peak 1	8p23.3  	chr8:1-752208(probes 140194:140204)               	chr8:1-747209(probes 140194:140203)               	chr8:1-753208(probes 140194:140206)               	0.24677	  0.24677		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	0	1	1	1	1	
Deletion Peak 2	9p11.1  	chr9:42292236-42325233(probes 159026:159032)  	chr9:42293235-42324234(probes 159027:159031)  	chr9:42292235-42335234(probes 159025:159034)  	0.047752	 0.047752		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	0	1	
Deletion Peak 3	9q13    	chr9:64365310-64462808(probes 161172:161180)  	chr9:64366309-64453308(probes 161173:161179)  	chr9:64366309-64475308(probes 161173:161182)  	0.12124	  0.12124		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	0	1	
Deletion Peak 4	10q11.22	chr10:47573957-47648455(probes 173304:173314)	chr10:47582457-47646456(probes 173305:173313)	chr10:47582457-47691455(probes 173305:173332)	0.047752	 0.047752		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	1	1	
Deletion Peak 5	15q11.2 	chr15:20002006-22377003(probes 228335:228551)	chr15:20003005-21537004(probes 228336:228472)	chr15:19999005-22560003(probes 228334:228553)	0.047752	 0.047752		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	1	1	
Deletion Peak 6	16p11.1 	chr16:35220363-35525218(probes 239962:239994)	chr16:35230220-35523219(probes 239963:239993)	chr16:35230220-35535048(probes 239963:239996)	0.099442	 0.099442		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	1	1	
Deletion Peak 7	22p11.2 	chr22:11973002-12287400(probes 277070:277103)	chr22:11976001-12278000(probes 277071:277102)	chr22:11976001-12306200(probes 277071:277105)	0.1353	   0.1353		0: t>-0.23; 1: -0.23>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	1	1	
Amplification Peak  1 - CN values	1p36.13 	chr1:16539626-16724846(probes 1654:1678)        	chr1:16540625-16715624(probes 1655:1677)        	chr1:16540625-16743290(probes 1655:1680)        	0.1103	     0.1728		Actual Copy Change Given	1.4673	-0.078039	1.995	-0.11707	3.6569	2.9854	1.243	0.080977	3.6569	
Amplification Peak  2 - CN values	1p36.13 	chr1:16863626-16948623(probes 1692:1702)        	chr1:16867625-16945624(probes 1693:1701)        	chr1:16867625-16962578(probes 1693:1708)        	0.00015667	 0.00022928		Actual Copy Change Given	1.3597	3.6569	1.995	3.6569	3.6569	3.6569	-0.15232	0.080977	3.6569	
Amplification Peak  3 - CN values	1q12    	chr1:125143476-143284099(probes 12731:14556)  	chr1:125178475-143223474(probes 12742:14547)  	chr1:124937475-143303349(probes 12708:14558)  	2.9642e-08	 7.1623e-08		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	0.82178	3.6569	
Amplification Peak  4 - CN values	1q21.1  	chr1:144139476-145268441(probes 14641:14731)  	chr1:144140475-145247474(probes 14642:14726)  	chr1:144106475-145288376(probes 14640:14733)  	0.021793	   0.046482		Actual Copy Change Given	0.84776	0.35855	2.3169	1.2293	3.3517	3.6569	0.88315	0.82178	3.6569	
Amplification Peak  5 - CN values	1q44    	chr1:248575465-248669360(probes 25222:25236)  	chr1:248577464-248659463(probes 25223:25235)  	chr1:248577464-248689153(probes 25223:25238)  	0.0033092	  0.0033092		Actual Copy Change Given	1.3289	3.6569	2.1584	3.6569	-1.2929	-1.2929	3.6569	-0.64524	2.1907	
Amplification Peak  6 - CN values	2p11.2  	chr2:89780556-89851487(probes 34325:34333)      	chr2:89781555-89841554(probes 34326:34332)      	chr2:89772555-94600090(probes 34320:34837)      	1.4598e-08	 8.1602e-05		Actual Copy Change Given	3.6569	3.6569	3.6569	2.3325	3.6569	3.6569	3.6569	0.69878	3.6569	
Amplification Peak  7 - CN values	2p11.2  	chr2:90372556-91426553(probes 34390:34497)      	chr2:90377555-91421554(probes 34391:34496)      	chr2:89772555-94600090(probes 34320:34837)      	2.8758e-09	 0.00011431		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	0.69878	3.6569	
Amplification Peak  8 - CN values	2q11.1  	chr2:94506809-94569306(probes 34821:34831)      	chr2:94512308-94568307(probes 34822:34830)      	chr2:89772555-94600090(probes 34320:34837)      	2.8758e-09	 9.7741e-07		Actual Copy Change Given	3.568	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	0.69878	3.6569	
Amplification Peak  9 - CN values	3p11.1  	chr3:90569763-91258257(probes 58759:58778)      	chr3:90579363-91248372(probes 58760:58777)      	chr3:90258363-91278026(probes 58718:58780)      	2.107e-09	 2.0112e-08		Actual Copy Change Given	3.6569	3.6569	1.8737	3.6569	3.6569	3.6569	3.6569	-0.59353	3.6569	
Amplification Peak 10 - CN values	3q11.1  	chr3:91539374-93719323(probes 58815:58820)      	chr3:91541373-93718324(probes 58816:58819)      	chr3:91515373-93749977(probes 58807:58826)      	7.2429e-07	 2.2557e-05		Actual Copy Change Given	3.6569	3.6569	-0.35382	3.6569	2.0376	3.6569	3.4626	-0.44831	2.0424	
Amplification Peak 11 - CN values	4p16.1  	chr4:8974370-9486367(probes 70251:70310)          	chr4:8975369-9103368(probes 70252:70265)          	chr4:8974369-9489367(probes 70250:70312)          	0.093412	   0.093412		Actual Copy Change Given	3.0749	0.37942	0.38964	1.9724	0.91556	1.9378	2.0904	-0.50044	3.173	
Amplification Peak 12 - CN values	4p11    	chr4:49081041-49290022(probes 74331:74355)      	chr4:49091024-49286023(probes 74332:74354)      	chr4:49091024-49738917(probes 74332:74430)      	1.3606e-08	 1.3606e-08		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	0.11531	3.6569	
Amplification Peak 13 - CN values	5p12    	chr5:46041553-46089550(probes 93175:93184)      	chr5:46044552-46087551(probes 93176:93183)      	chr5:45837552-50173557(probes 93150:93606)      	4.5338e-07	    0.06761		Actual Copy Change Given	2.5019	2.7348	1.9692	3.6569	3.6569	3.6569	1.8077	0.83777	3.0772	
Amplification Peak 14 - CN values	5p11    	chr5:46252952-46321351(probes 93209:93216)      	chr5:46261552-46311551(probes 93210:93215)      	chr5:45837552-50173557(probes 93150:93606)      	4.7521e-10	 2.2206e-07		Actual Copy Change Given	3.6569	3.6569	3.4328	3.6569	3.6569	3.6569	3.6569	0.83777	3.6569	
Amplification Peak 15 - CN values	6q11.1  	chr6:61385686-61511017(probes 113006:113016)    	chr6:61392685-61502684(probes 113007:113015)    	chr6:61392685-61596548(probes 113007:113022)    	0.00067694	 0.00067694		Actual Copy Change Given	2.7449	3.6569	0.16912	3.6569	2.6077	1.5578	2.8928	0.17858	3.6569	
Amplification Peak 16 - CN values	7p11.1  	chr7:57905431-60940983(probes 129952:130264)    	chr7:57913430-60939984(probes 129955:130263)    	chr7:57906430-60950859(probes 129953:130268)    	1.8467e-06	 1.4683e-05		Actual Copy Change Given	1.0951	3.6569	3.6569	3.3968	3.6569	3.6569	0.3977	-0.54738	3.6067	
Amplification Peak 17 - CN values	7q11.21 	chr7:62437772-62538769(probes 130380:130392)    	chr7:62438771-62533770(probes 130381:130391)    	chr7:62436771-63003630(probes 130377:130464)    	3.4098e-09	 2.4434e-08		Actual Copy Change Given	3.6569	3.6569	3.6569	3.6569	3.6569	3.6569	3.2348	-1.0551	3.6569	
